,Age,Gender,Weight,Daily Water Intake,Physical Activity Level,Weather,Hydration Level
0,56,Male,96,4.23,Moderate,Hot,Good
1,60,Male,105,3.95,High,Normal,Good
2,36,Male,68,2.39,Moderate,Cold,Good
3,19,Female,74,3.13,Moderate,Hot,Good
4,38,Male,77,2.11,Low,Normal,Poor
5,39,Female,93,2.81,Low,Normal,Good
6,59,Male,104,3.89,Moderate,Hot,Good
7,64,Female,106,3.78,Moderate,Hot,Good
8,69,Female,108,2.91,Low,Normal,Poor
9,54,Female,95,2.93,Moderate,Cold,Good
10,26,Female,83,2.0,Low,Normal,Poor
11,42,Female,104,3.88,Low,Hot,Good
12,26,Female,97,3.84,Moderate,Hot,Good
13,45,Male,104,2.74,Low,Normal,Poor
14,25,Female,91,3.6,Moderate,Hot,Good
15,34,Female,80,3.78,High,Hot,Good
16,21,Female,46,1.81,Moderate,Normal,Good
17,59,Male,48,1.5,Moderate,Normal,Good
18,35,Female,88,4.28,Moderate,Hot,Good
19,53,Female,58,2.87,Moderate,Hot,Good
20,32,Male,106,3.21,Moderate,Cold,Good
21,33,Male,97,4.2,Moderate,Hot,Good
22,42,Male,104,4.86,High,Hot,Good
23,58,Female,73,2.19,Low,Normal,Good
24,18,Female,53,2.06,Moderate,Cold,Good
25,61,Male,52,1.5,Low,Hot,Poor
26,28,Female,52,2.99,Moderate,Hot,Good
27,50,Female,49,3.1,Moderate,Hot,Good
28,58,Male,72,3.42,Moderate,Hot,Good
29,25,Male,56,1.71,Moderate,Cold,Good
30,65,Female,67,2.38,Moderate,Normal,Good
31,54,Female,88,2.18,Low,Cold,Poor
32,44,Male,79,2.84,Moderate,Normal,Good
33,54,Female,91,4.34,High,Hot,Good
34,18,Male,49,1.53,Low,Normal,Good
35,31,Female,71,2.85,Low,Hot,Good
36,32,Male,86,2.52,Low,Normal,Poor
37,68,Female,107,4.01,Low,Hot,Good
38,66,Male,96,3.14,Moderate,Normal,Good
39,21,Male,67,2.11,Low,Normal,Good
40,32,Male,87,2.31,Low,Normal,Poor
41,30,Female,76,3.08,Low,Hot,Good
42,68,Female,72,3.99,High,Hot,Good
43,62,Male,106,3.51,Moderate,Normal,Good
44,23,Female,72,2.16,Low,Cold,Good
45,61,Male,74,3.0,Low,Hot,Good
46,45,Male,106,3.49,High,Cold,Good
47,44,Female,106,2.68,Low,Normal,Poor
48,30,Male,47,1.5,Moderate,Cold,Good
49,25,Male,71,2.55,Moderate,Normal,Good
50,54,Female,95,3.32,High,Normal,Good
51,41,Male,103,3.91,High,Normal,Good
52,49,Male,96,2.94,Moderate,Cold,Good
53,66,Female,102,3.22,Low,Normal,Good
54,56,Female,46,2.99,High,Hot,Good
55,54,Female,100,2.44,Moderate,Cold,Poor
56,66,Female,46,2.28,Moderate,Hot,Good
57,40,Male,45,1.5,Low,Normal,Good
58,19,Male,97,2.6,Low,Cold,Poor
59,49,Female,76,3.57,Moderate,Hot,Good
60,28,Male,100,3.24,Moderate,Normal,Good
61,55,Female,68,2.21,Moderate,Normal,Good
62,51,Female,55,3.37,High,Hot,Good
63,33,Male,103,3.98,Moderate,Hot,Good
64,46,Male,47,2.7,Moderate,Hot,Good
65,53,Male,63,3.5,High,Hot,Good
66,36,Male,64,3.07,High,Normal,Good
67,69,Female,77,2.61,High,Cold,Good
68,56,Female,45,2.93,High,Hot,Good
69,42,Female,94,4.94,High,Hot,Good
70,47,Male,86,3.04,High,Cold,Good
71,33,Male,104,4.08,Moderate,Hot,Good
72,18,Male,92,3.93,Low,Hot,Good
73,22,Female,81,3.01,Moderate,Cold,Good
74,26,Male,63,3.12,High,Normal,Good
75,20,Male,64,3.01,High,Cold,Good
76,50,Female,68,3.39,High,Normal,Good
77,66,Female,80,2.2,Low,Cold,Poor
78,37,Male,69,2.78,Moderate,Hot,Good
79,63,Female,98,3.79,Moderate,Hot,Good
80,58,Male,77,1.73,Moderate,Cold,Poor
81,31,Female,65,1.63,Low,Normal,Poor
82,25,Male,51,1.75,Low,Normal,Good
83,50,Male,92,4.05,High,Hot,Good
84,68,Male,66,2.42,High,Normal,Good
85,55,Male,95,4.64,High,Hot,Good
86,44,Male,71,3.42,High,Normal,Good
87,47,Female,72,2.83,Moderate,Normal,Good
88,50,Female,105,4.15,High,Normal,Good
89,21,Male,79,4.34,High,Hot,Good
90,34,Male,88,3.58,Moderate,Normal,Good
91,46,Male,90,3.81,High,Cold,Good
92,52,Female,81,3.26,Low,Hot,Good
93,66,Female,90,3.57,High,Cold,Good
94,52,Female,104,4.17,High,Normal,Good
95,38,Female,76,2.83,Moderate,Cold,Good
96,20,Male,62,2.62,High,Cold,Good
97,48,Male,98,3.64,Moderate,Normal,Good
98,57,Female,90,3.7,High,Hot,Good
99,49,Male,91,3.42,Moderate,Cold,Good
100,19,Female,71,2.43,Moderate,Normal,Good
101,43,Male,61,1.88,Low,Cold,Good
102,26,Female,87,4.02,Moderate,Hot,Good
103,56,Male,86,3.09,Moderate,Normal,Good
104,52,Female,94,4.09,Moderate,Hot,Good
105,30,Female,104,4.33,Moderate,Hot,Good
106,53,Male,89,2.26,Moderate,Cold,Poor
107,25,Male,60,2.35,High,Normal,Good
108,68,Male,59,3.05,High,Hot,Good
109,19,Male,76,3.06,High,Cold,Good
110,39,Male,95,4.52,High,Hot,Good
111,39,Male,102,4.42,High,Normal,Good
112,66,Female,96,2.32,Moderate,Cold,Poor
113,32,Male,98,3.18,Moderate,Cold,Good
114,54,Male,52,1.5,Low,Cold,Poor
115,61,Male,49,1.5,Low,Cold,Good
116,23,Female,91,3.43,Moderate,Normal,Good
117,57,Female,96,2.91,High,Cold,Good
118,67,Male,74,1.66,Moderate,Cold,Poor
119,36,Male,102,3.84,Moderate,Hot,Good
120,54,Female,106,4.22,High,Normal,Good
121,26,Female,56,2.59,High,Normal,Good
122,18,Female,78,3.78,High,Hot,Good
123,65,Female,45,2.5,High,Normal,Good
124,56,Female,108,2.69,Low,Cold,Poor
125,39,Male,70,2.16,Moderate,Cold,Good
126,54,Male,101,3.27,Low,Hot,Good
127,45,Male,91,2.47,Moderate,Cold,Poor
128,63,Female,106,3.28,Moderate,Cold,Good
129,29,Male,60,1.6,Moderate,Cold,Poor
130,65,Male,83,2.74,Low,Hot,Good
131,47,Male,67,3.26,High,Hot,Good
132,22,Female,78,2.6,Moderate,Normal,Good
133,27,Male,63,3.59,High,Hot,Good
134,18,Male,48,2.56,High,Normal,Good
135,33,Female,46,1.5,Moderate,Cold,Good
136,49,Male,68,2.92,High,Cold,Good
137,52,Male,77,2.47,Moderate,Normal,Good
138,68,Male,87,3.45,High,Cold,Good
139,20,Female,109,5.43,High,Hot,Good
140,27,Male,87,4.01,High,Hot,Good
141,30,Male,56,1.98,High,Cold,Good
142,19,Male,79,3.41,Moderate,Hot,Good
143,43,Female,52,2.15,High,Cold,Good
144,27,Male,78,2.6,Moderate,Normal,Good
145,24,Female,102,4.26,High,Normal,Good
146,62,Female,73,2.13,High,Cold,Poor
147,42,Male,65,4.12,High,Hot,Good
148,53,Male,54,1.5,Low,Normal,Poor
149,41,Male,108,3.82,Moderate,Normal,Good
150,52,Female,80,2.47,Moderate,Normal,Good
151,56,Male,68,1.81,Low,Cold,Poor
152,49,Female,81,3.37,Moderate,Hot,Good
153,30,Female,67,2.26,Low,Normal,Good
154,58,Female,74,2.82,Moderate,Normal,Good
155,37,Male,57,1.81,Low,Cold,Good
156,66,Male,56,2.54,Low,Hot,Good
157,36,Male,53,2.61,Moderate,Hot,Good
158,31,Female,96,3.65,Low,Hot,Good
159,64,Female,60,2.45,High,Normal,Good
160,52,Male,56,1.5,Low,Normal,Poor
161,38,Male,97,4.2,High,Normal,Good
162,56,Male,97,3.3,High,Cold,Good
163,56,Female,58,1.5,Low,Normal,Poor
164,22,Female,79,3.46,Low,Hot,Good
165,60,Female,62,2.73,Low,Hot,Good
166,26,Male,102,4.18,High,Normal,Good
167,55,Female,51,1.5,Moderate,Cold,Poor
168,57,Female,86,2.88,Low,Hot,Good
169,44,Female,49,1.98,Moderate,Normal,Good
170,55,Male,52,1.83,High,Cold,Good
171,18,Female,61,2.98,High,Cold,Good
172,42,Female,89,4.62,High,Hot,Good
173,23,Female,75,2.23,Low,Normal,Poor
174,61,Male,98,4.55,High,Hot,Good
175,27,Female,63,2.7,Moderate,Hot,Good
176,20,Female,89,2.88,Low,Hot,Good
177,45,Female,102,4.5,Moderate,Hot,Good
178,25,Male,105,4.17,High,Cold,Good
179,56,Male,45,2.93,High,Hot,Good
180,45,Male,106,4.28,Moderate,Hot,Good
181,66,Male,69,2.34,Moderate,Cold,Good
182,55,Female,50,2.2,High,Cold,Good
183,62,Female,76,2.24,Moderate,Cold,Poor
184,64,Female,65,1.5,Low,Normal,Poor
185,38,Male,80,3.45,High,Normal,Good
186,37,Female,101,3.55,Moderate,Normal,Good
187,58,Female,93,3.89,Moderate,Hot,Good
188,48,Male,45,3.18,High,Hot,Good
189,20,Male,60,3.24,Moderate,Hot,Good
190,28,Male,56,3.14,High,Normal,Good
191,33,Female,68,3.36,Moderate,Hot,Good
192,25,Male,80,3.56,Moderate,Hot,Good
193,67,Male,72,2.64,Moderate,Hot,Good
194,58,Female,108,3.39,Moderate,Normal,Good
195,34,Female,77,2.42,Moderate,Cold,Good
196,30,Male,73,1.52,Low,Cold,Poor
197,52,Female,50,1.85,Moderate,Cold,Good
198,22,Female,91,3.85,Low,Hot,Good
199,27,Male,100,3.08,Low,Cold,Good
200,62,Female,49,1.5,Low,Hot,Good
201,50,Female,109,2.95,Low,Cold,Poor
202,64,Male,93,2.37,Low,Normal,Poor
203,43,Male,107,4.8,High,Hot,Good
204,44,Male,93,2.83,Low,Cold,Good
205,51,Male,45,1.5,Low,Cold,Good
206,23,Female,49,2.67,High,Cold,Good
207,40,Male,97,3.85,Moderate,Normal,Good
208,27,Male,61,3.27,High,Hot,Good
209,26,Male,45,2.0,Moderate,Cold,Good
210,30,Male,48,1.67,Moderate,Normal,Good
211,66,Female,76,3.23,High,Hot,Good
212,48,Female,83,3.36,Low,Hot,Good
213,51,Male,98,3.91,High,Normal,Good
214,67,Female,56,2.2,Moderate,Normal,Good
215,61,Male,49,1.5,Low,Normal,Good
216,34,Female,91,3.15,Moderate,Normal,Good
217,54,Female,58,2.34,High,Cold,Good
218,68,Male,82,2.48,Moderate,Cold,Good
